CATEGORY SC,CATEGORY SHOTGUN,GENRE SC,GENRE SHOTGUN,Remarque,,
hip-hop & rap,,german underground rap,rap,,,
hip-hop & rap,,gothenburg hip hop,hip hop,,,
hip-hop & rap,,grime,grime,,,
hip-hop & rap,,hardcore hip hop,hip hop,,,
hip-hop & rap,,hip hop,hip hop,,,
hip-hop & rap,,hip hop quebecois,hip hop,,,
hip-hop & rap,,hip hop tuga,hip hop,,,
hip-hop & rap,,hip house,house,,,
hip-hop & rap,,hip-hop experimental,hip hop,,,
hip-hop & rap,,hip-hop/rap,hip hop,,,
hip-hop & rap,,hungarian hip hop,hip hop,,,
hip-hop & rap,,hungarian underground rap,rap,,,
hip-hop & rap,,indonesian hip hop,hip hop,,,
hip-hop & rap,,industrial hip hop,hip hop,,,
hip-hop & rap,,israeli hip hop,hip hop,,,
hip-hop & rap,,italian hip hop,hip hop,,,
hip-hop & rap,,jazz rap,rap,,,
hip-hop & rap,,korean old school hip hop,hip hop,,,
hip-hop & rap,,latin hip hop,hip hop,,,
hip-hop & rap,,lgbtq+ hip hop,hip hop,,,
hip-hop & rap,,london rap,rap,,,
hip-hop & rap,,manchester hip hop,hip hop,,,
hip-hop & rap,,meme rap,rap,,,
hip-hop & rap,,mexican hip hop,hip hop,,,
hip-hop & rap,,new jersey rap,rap,,,
hip-hop & rap,,nigerian hip hop,hip hop,,,
hip-hop & rap,,north carolina hip hop,hip hop,,,
hip-hop & rap,,nyc rap,rap,,,
hip-hop & rap,,old school rap francais,rap,,,
hip-hop & rap,,phonk,trap,,,
hip-hop & rap,,pop rap,rap,,,
hip-hop & rap,,pop rap brasileiro,rap,,,
hip-hop & rap,,psychedelic hip hop,hip hop,,,
hip-hop & rap,,queens hip hop,hip hop,,,
hip-hop & rap,,rap,rap,,,
hip-hop & rap,,rap algerien,rap,,,
hip-hop & rap,,rap angolano,rap,,,
hip-hop & rap,,rap antillais,rap,,,
hip-hop & rap,,rap baiano,rap,,,
hip-hop & rap,,rap baixada fluminense,rap,,,
hip-hop & rap,,rap belge,rap,,,
hip-hop & rap,,rap calme,rap,,,
hip-hop & rap,,rap catarinense,rap,,,
hip-hop & rap,,rap cearense,rap,,,
hip-hop & rap,,rap chileno,rap,,,
hip-hop & rap,,rap conciencia,rap,,,
hip-hop & rap,,rap conscient,rap,,,
hip-hop & rap,,rap df,rap,,,
hip-hop & rap,,rap feminino nacional,rap,,,
hip-hop & rap,,rap francais,rap,,,
hip-hop & rap,,rap gaucho,rap,,,
hip-hop & rap,,rap guarulhense,rap,,,
hip-hop & rap,,rap inde,rap,,,
hip-hop & rap,,rap latina,rap,,,
hip-hop & rap,,rap maroc,rap,,,
hip-hop & rap,,rap marseille,rap,,,
hip-hop & rap,,rap mineiro,rap,,,
hip-hop & rap,,rap montrealais,rap,,,
hip-hop & rap,,rap nacional antigo,rap,,,
hip-hop & rap,,rap napoletano,rap,,,
hip-hop & rap,,rap tunisien,rap,,,
hip-hop & rap,,russian gangster rap,rap,,,
hip-hop & rap,,russian hip hop,hip hop,,,
hip-hop & rap,,scottish hip hop,hip hop,,,
hip-hop & rap,,scratch,hip hop,,,
hip-hop & rap,,seattle hip hop,hip hop,,,
hip-hop & rap,,southern hip hop,hip hop,,,
hip-hop & rap,,swedish drill,drill,,,
hip-hop & rap,,swedish gangsta rap,rap,,,
hip-hop & rap,,swedish hip hop,hip hop,,,
hip-hop & rap,,swedish trap,trap,,,
hip-hop & rap,,swiss hip hop,hip hop,,,
hip-hop & rap,,tennessee hip hop,hip hop,,,
hip-hop & rap,,trap,trap,,,
hip-hop & rap,,trap antillais,trap,,,
hip-hop & rap,,trap brasileiro,trap,,,
hip-hop & rap,,trap carioca,trap,,,
hip-hop & rap,,trap catala,trap,,,
hip-hop & rap,,trap dominicano,trap,,,
hip-hop & rap,,trap latino,trap,,,
hip-hop & rap,,trap tuga,trap,,,
hip-hop & rap,,trip hop,Null,It may designate electronic trip hop (Wax Tailor) or rock trip hop (Archive),,
hip-hop & rap,,turntablism,hip hop,,,
hip-hop & rap,,uk alternative hip hop,hip hop,,,
hip-hop & rap,,uk drill,drill,,,
hip-hop & rap,,uk hip hop,hip hop,,,
hip-hop & rap,,underground hip hop,hip hop,,,
hip-hop & rap,,upstate ny rap,rap,,,
hip-hop & rap,,vapor trap,bass,Electronic trap,,
hip-hop & rap,,venezuelan hip hop,hip hop,,,
hip-hop & rap,,virginia hip hop,hip hop,,,
hip-hop & rap,,west coast trap,trap,,,
instrumental,,afro-cuban percussion,Null,Should be linked to latino / brazilian genre,,
instrumental,,balkan brass,Null,Should be linked to Instrumental genre,,
instrumental,,bandoneon,Null,Should be linked to latino / brazilian genre,,
instrumental,,banjo,Null,Should be linked to Instrumental genre,,
instrumental,,double drumming,rock,,,
instrumental,,hangpan,Null,Should be linked to Instrumental genre,,
instrumental,,instrumental grime,Null,Should be linked to UK genre,,
jazz & standards,,arabic jazz,Null,Arabic folk with jazz influences,,
jazz & standards,,bay area indie,pop,,,
jazz & standards,,bossa nova,bossa nova,,,
jazz & standards,,brazilian jazz,jazz,,,
jazz & standards,,british jazz,jazz,,,
jazz & standards,,coverchill,pop,A catch-all for covers. Mostly transformed into mainstream deep house tracks.,,
jazz & standards,,electro jazz,Null,A catch-all for electronic music with jazz influences,,
jazz & standards,,experimental jazz,jazz,,,
jazz & standards,,french jazz,jazz,,,
jazz & standards,,indie jazz,jazz,,,
jazz & standards,,jazz,jazz,,,
jazz & standards,,jazz blues,blues,,,
jazz & standards,,jazz boom bap,rap,,,
jazz & standards,,jazz fusion,jazz,,,
jazz & standards,,jazz trumpet,jazz,,,
jazz & standards,,jazztronica,jazz,Jazz with electronic elements,,
jazz & standards,,jazzy dnb,drum & bass,,,
jazz & standards,,latin jazz,Null,"Latin music (salsa, mambo etc.) with jazz influences. Should be linked to latino / brazilian genre.",,
jazz & standards,,livetronica,electronica,,,
jazz & standards,,nu jazz,jazz,,,
jazz & standards,,portuguese jazz,jazz,,,
jazz & standards,,samba-jazz,jazz,Jazz with samba elements.,,
jazz & standards,,turkish jazz,jazz,,,
jazz & standards,,vocal jazz,jazz,,,
latin,,afrobeat brasileiro,afrobeat,,,
latin,,afrofuturismo brasileiro,Null,Latin pop music with afro influences. Should be linked to latino / brazilian genre.,,
latin,,axe,axe,,,
latin,,baiao,brazilian,,,
latin,,boom bap brasileiro,rap,,,
latin,,boom bap espanol,rap,,,
latin,,brass band brasileiro,jazz,,,
latin,,brazilian boogie,brazilian,,,
latin,,brazilian dnb,drum & bass,,,
latin,,cantaditas,eurodance,,,
latin,,cantautora argentina,Null,Should be linked to latino / brazilian genre.,,
latin,,chicha,Null,Should be linked to latino / brazilian genre.,,
latin,,choro,brazilian,,,
latin,,choro contemporaneo,brazilian,,,
latin,,cuban rumba,Null,Should be linked to latino / brazilian genre.,,
latin,,cumbia,Null,Should be linked to latino / brazilian genre.,,
latin,,cumbia del sureste,Null,Should be linked to latino / brazilian genre.,,
latin,,dancehall guyanaise,dancehall,,,
latin,,drill brasileiro,drill,,,
latin,,eletronica underground brasileira,electronica,A catch-all for dark electronic music from brasilian artists.,,
latin,,gotico brasileiro,brazilian,,,
latin,,grime brasileiro,grime,,,
latin,,indie curitibano,brazilian,,,
latin,,kompa gouyad,reggaeton,,,
latin,,latin,afro,Haitian modern genre influenced by traditionnal music,,
latin,,latintronica,electronica,,,
latin,,manguebeat,brazilian,,,
latin,,mpb,mpb,,,
latin,,musica baiana,brazilian,,,
latin,,musica campineira,brazilian,,,
latin,,musica eletronica brasileira,Null,,,
latin,,musica feirense,brazilian,,,
latin,,musica paraibana,mpb,,,
latin,,musica pernambucana,brazilian,,,
latin,,musica rondoniense,brazilian,,,
latin,,musique guadeloupe,afro,Afro-caribean,,
latin,,neoperreo,reggaeton,,,
latin,,nova mpb,mpb,,,
latin,,nova musica carioca,brazilian,,,
latin,,nova musica maranhense,brazilian,,,
latin,,nova musica paulista,brazilian,,,
latin,,nova musica pernambucana,brazilian,,,
latin,,nu-cumbia,Null,Should be linked to latino / brazilian genre.,,
latin,,pagode,pagode,,,
latin,,partido alto,samba,,,
latin,,perreo,reggaeton,,,
latin,,pop lgbtq+ brasileira,brazilian,,,
latin,,reggaeton,reggaeton,,,
latin,,reggaeton flow,reggaeton,,,
latin,,salsa international,salsa,,,
latin,,salsa puertorriquena,salsa,,,
latin,,samba moderno,salsa,,,
latin,,samba-enredo,samba,,,
latin,,sambass,drum & bass,drum and bass with samba elements,,
latin,,shoegaze brasileiro,indie rock,,,
latin,,tecnobrega,brazilian,,,
latin,,trival,Null,Should be linked to latino / brazilian genre.,,
latin,,tropicalia,brazilian,,,
latin,,umbanda,brazilian,,,
latin,,urbano espanol,hip hop,,,
latin,,urbano latino,hip hop,,,
latin,,velha guarda,brazilian,,,
latin,,violao,Null,Latin guitare tracks. Should be linked to latino / brazilian genre.,,
latin,,zouk,afro,Afro-caribean,,
metal,,alternative metal,metal,,,
metal,,avant-garde metal,metal,,,
metal,,belgian metal,metal,,,
metal,,death industrial,death metal,,,
metal,,deathstep,dubstep,,,
metal,,djent,heavy metal,,,
metal,,dub metal,metal,,,
metal,,french death metal,death metal,,,
metal,,french metal,metal,,,
metal,,gaian doom,heavy metal,,,
metal,,glam metal,metal,,,
metal,,gothenburg metal,metal,,,
metal,,groove metal,metal,,,
metal,,industrial metal,industrial metal,,,
metal,,melodic metal,metal,,,
metal,,melodic metalcore,metalcore,,,
metal,,metal,metal,,,
metal,,metalcore,metalcore,,,
metal,,mexican metal,metal,,,
metal,,neo metal,metal,,,
metal,,nu metal,metal,,,
metal,,nu-metalcore,metalcore,,,
metal,,post-metal,metal,,,
metal,,progressive groove metal,metal,,,
metal,,progressive metal,metal,,,
metal,,rap metal,metal,,,
metal,,slayer,heavy metal,,,
metal,,symphonic death metal,death metal,,,
metal,,symphonic metal,metal,,,
metal,,symphonic power metal,heavy metal,,,
metal,,uk metalcore,metalcore,,,
metal,,ukrainian metal,metal,,,
middle eastern,,arab groove,Null,Arab folk music with funk/jazz influences,,
middle eastern,,dabke,Null,Arab folk music with electronic elements,,
middle eastern,,moorish traditional,Null,Arab folk music,,
others,,abstract,experimental,,,
others,,arab experimental,experimental,,,
others,,australian experimental,experimental,,,
others,,brazilian experimental,experimental,,,
others,,british experimental,experimental,,,
others,,danish experimental,experimental,,,
others,,experimental bass,experimental,,,
others,,fake,experimental,,,
others,,finnish experimental,experimental,,,
others,,fourth world,experimental,"Combination of ambient, electronic and traditional elements",,
others,,italian experimental,experimental,,,
others,,melancholia,pop,Slow dark ballads ,,
others,,mexican experimental,experimental,,,
others,,multidisciplinary,experimental,,,
others,,noise,noise,,,
others,,one-person band,Null,,,
others,,pink noise,pop,,,
others,,power noise,industrial,,,
others,,swiss experimental,experimental,,,
others,,therapy,ambient,Sounds for relaxation including this wonderful album https://open.spotify.com/intl-fr/album/3wvZawG0YY7KpkKPuPGocv,,
others,,ukrainian experimental,experimental,,,
others,,world,Null,,,
others,,worldwide,Null,,,
pop,,adelaide indie,pop,,,
pop,,adult standards,pop,"Frank Sinatra, Paul Anka",,
pop,,afghan pop,Null,Traditional songs with western pop elements but still far from it,,
pop,,afro dancehall,dancehall,,,
pop,,afropop,afro,,,
pop,,ambeat,downtempo,,,
pop,,arab pop,Null,Traditional songs with western pop elements but still far from it,,
pop,,argentine indie,pop,,,
pop,,art pop,pop,,,
pop,,australian indie,pop,,,
pop,,australian psych,psychedelic rock,,,
pop,,baltimore indie,pop,,,
pop,,baroque pop,pop,,,
pop,,basel indie,pop,,,
pop,,bedroom pop,pop,,,
pop,,belgian indie,pop,,,
pop,,belgian pop,pop,,,
pop,,bow pop,classical,,,
pop,,boy band,pop,,,
pop,,brazilian indie,pop,,,
pop,,brighton indie,pop,,,
pop,,bristol indie,pop,,,
pop,,c86,pop,,,
pop,,canadian electropop,pop,,,
pop,,canadian pop,pop,,,
pop,,candy pop,pop,,,
pop,,chamber pop,pop,,,
pop,,chamber psych,pop,,,
pop,,chanson,pop,,,
pop,,chanson paillarde,Null,,,
pop,,chanson virale,Null,,,
pop,,cincinnati indie,pop,,,
pop,,classic arab pop,Null,,,
pop,,classic italian pop,Traditional songs with western pop elements but still far from it,,,
pop,,classic persian pop,Traditional songs with western pop elements but still far from it,,,
pop,,classic thai pop,Traditional songs with western pop elements but still far from it,,,
pop,,collage pop,pop,,,
pop,,colombian indie,pop,,,
pop,,cornwall indie,pop,,,
pop,,dance pop,pop,,,
pop,,danish electropop,pop,,,
pop,,danish indie,pop,,,
pop,,dark disco,industrial,,,
pop,,detroit indie,pop,,,
pop,,dominican indie,Null,Should be linked to latino / brazilian genre.,,
pop,,dominican pop,Null,Should be linked to latino / brazilian genre.,,
pop,,dream pop,pop,,,
pop,,dreamgaze,pop,,,
pop,,dutch indie,pop,,,
pop,,ecuadorian indie,Null,Should be linked to latino / brazilian genre.,,
pop,,electro-pop francais,pop,,,
pop,,estonian pop,pop,,,
pop,,experimental indie,pop,,,
pop,,experimental pop,pop,,,
pop,,finnish indie,pop,,,
pop,,francoton,pop,,,
pop,,french indie pop,pop,,,
pop,,french pop,pop,,,
pop,,french synthpop,pop,,,
pop,,funk pop,pop,,,
pop,,garage pop,pop,,,
pop,,gauze pop,pop,,,
pop,,german indie,pop,,,
pop,,german indie pop,pop,,,
pop,,greek pop,pop,,,
pop,,hamilton on indie,pop,,,
pop,,heavy psych,psychedelic rock,,,
pop,,hip pop,hip hop,,,
pop,,hmong pop,Null,,,
pop,,hyperpop,pop,,,
pop,,hyperpop brasileiro,brazilian,,,
pop,,hyperpop francais,pop,,,
pop,,indie dream pop,pop,,,
pop,,indie electropop,pop,,,
pop,,indie pop,pop,,,
pop,,indie poptimism,pop,,,
pop,,indietronica,pop,,,
pop,,indonesian indie,Null,,,
pop,,isle of wight indie,indie rock,,,
pop,,israeli indie,pop,,,
pop,,israeli pop,Null,,,
pop,,italian adult pop,pop,,,
pop,,italian indie pop,pop,,,
pop,,italian pop,pop,,,
pop,,k-pop,k-pop,,,
pop,,korean pop,k-pop,,,
pop,,kosovan pop,Null,,,
pop,,la indie,pop,,,
pop,,la pop,pop,,,
pop,,latin afrobeat,Null,Should be linked to latino / brazilian genre.,,
pop,,latvian pop,Null,,,
pop,,lebanese indie,Null,,,
pop,,mande pop,afro,,,
pop,,metropopolis,pop,,,
pop,,miami indie,pop,,,
pop,,minimal wave,minimal synth,,,
pop,,minneapolis indie,pop,,,
pop,,modern indie pop,pop,,,
pop,,moroccan pop,Null,,,
pop,,munich indie,pop,,,
pop,,musica popular mineira,brazilian,,,
pop,,musica popular paraense,brazilian,,,
pop,,nantes indie,pop,,,
pop,,neo mellow,indie rock,,,
pop,,neo-synthpop,pop,,,
pop,,new jersey indie,pop,,,
pop,,new romantic,new rave,,,
pop,,new wave pop,pop,,,
pop,,nice indie,indie rock,,,
pop,,nigerian pop,afro,,,
pop,,noise pop,indie rock,,,
pop,,norwegian indie,pop,,,
pop,,nouvelle chanson francaise,pop,,,
pop,,nu disco,industrial,,,
pop,,nyc pop,pop,,,
pop,,nz indie,pop,,,
pop,,oxford indie,pop,,,
pop,,palestinian pop,Null,,,
pop,,persian pop,Null,,,
pop,,pop,pop,,,
pop,,pop ambient,ambient,,,
pop,,pop nacional,brazilian,,,
pop,,pop urbaine,pop,,,
pop,,pop virale italiano,pop,,,
pop,,popgaze,pop,,,
pop,,portuguese indie,pop,,,
pop,,portuguese pop,pop,,,
pop,,post-disco,disco,,,
pop,,post-teen pop,pop,,,
pop,,psychedelic pop,pop,,,
pop,,puglia indie,pop,,,
pop,,reading indie,pop,,,
pop,,rennes indie,pop,,,
pop,,reunion pop,afro,,,
pop,,romanian pop,pop,,,
pop,,rome indie,pop,,,
pop,,russian alt pop,pop,,,
pop,,russian pop,pop,,,
pop,,scottish indie,pop,,,
pop,,sheffield indie,pop,,,
pop,,shimmer pop,pop,,,
pop,,shiver pop,pop,,,
pop,,socal indie,indie rock,,,
pop,,social media pop,pop,,,
pop,,sophisti-pop,pop,,,
pop,,south african pop,new rave,,,
pop,,spanish synthpop,pop,,,
pop,,sudanese pop,Null,More traditional than western pop,,
pop,,swedish electropop,pop,,,
pop,,swedish pop,pop,,,
pop,,swedish synthpop,synthpop,,,
pop,,swedish trap pop,pop,,,
pop,,swiss pop,pop,,,
pop,,synthpop,synthpop,,,
pop,,syrian pop,Null,More traditional than western pop,,
pop,,togolese pop,Null,More traditional than western pop,,
pop,,transpop,pop,,,
pop,,tunisian pop,Null,More traditional than western pop,,
pop,,turin indie,pop,,,
pop,,turkish pop,Null,More traditional than western pop,,
pop,,turkish psych,Null,More traditional than rock,,
pop,,twee pop,pop,,,
pop,,uk alternative pop,pop,,,
pop,,uk pop,pop,,,
pop,,ukrainian indie,pop,,,
pop,,ukrainian pop,pop,,,
pop,,vapor pop,pop,,,
pop,,vegas indie,pop,,,
pop,,viral pop brasileiro,brazilian,,,
pop,,zouk riddim,afro,,,
pop,,zurich indie,pop,,,
punk,,australian garage punk,punk,,,
punk,,australian post-punk,post-punk,,,
punk,,black punk,punk,,,
punk,,boston hardcore,punk,,,
punk,,brazilian punk rock,rock,,,
punk,,dark hardcore,hardcore,,,
punk,,dark post-punk,post-punk,,,
punk,,deathrock,rock,,,
punk,,deep german punk,punk,,,
punk,,emo,rock,,,
punk,,french post-punk,post-punk,,,
punk,,french punk,punk,,,
punk,,happy hardcore,hardcore,,,
punk,,hardcore,hardcore,,,
punk,,hardcore punk,punk,,,
punk,,indie punk,punk,,,
punk,,industrial hardcore,hardcore,,,
punk,,italian emo,rock,,,
punk,,italian hardcore,punk,,,
punk,,italian post-hardcore,punk,,,
punk,,kentucky punk,punk,,,
punk,,melodic hardcore,punk,,,
punk,,mexican hardcore,punk,,,
punk,,nyhc,punk,,,
punk,,oi,punk,,,
punk,,pop punk,rock,,,
punk,,post-screamo,rock,,,
punk,,protopunk,punk,,,
punk,,punk,punk,,,
punk,,punk blues,punk,,,
punk,,punk mexicano,punk,,,
punk,,riot grrrl,punk,,,
punk,,screamo,punk,,,
punk,,skate punk,punk,,,
punk,,spanish post-punk,post-punk,,,
punk,,straight edge,punk,,,
punk,,street punk,punk,,,
punk,,surf punk,punk,,,
punk,,uk diy punk,punk,,,
punk,,uk post-punk,post-punk,,,
punk,,uk post-punk revival,post-punk,,,
punk,,uptempo hardcore,hardcore,,,
"r&b, funk & soul",,afro r&b,r&b,,,
"r&b, funk & soul",,alternative r&b,r&b,,,
"r&b, funk & soul",,brega funk,brazilian,,,
"r&b, funk & soul",,british soul,soul,,,
"r&b, funk & soul",,canadian contemporary r&b,r&b,,,
"r&b, funk & soul",,chill r&b,r&b,,,
"r&b, funk & soul",,classic soul,soul,,,
"r&b, funk & soul",,contemporary r&b,r&b,,,
"r&b, funk & soul",,cumbia funk,Null,Should be linked to latino / brazilian genre.,,
"r&b, funk & soul",,deep r&b,r&b,,,
"r&b, funk & soul",,disco,disco,,,
"r&b, funk & soul",,dutch r&b,r&b,,,
"r&b, funk & soul",,experimental r&b,r&b,,,
"r&b, funk & soul",,funk 150 bpm,brazilian,,,
"r&b, funk & soul",,funk carioca,brazilian,,,
"r&b, funk & soul",,funk consciente,brazilian,,,
"r&b, funk & soul",,funk das antigas,brazilian,,,
"r&b, funk & soul",,funk mandelao,brazilian,,,
"r&b, funk & soul",,funk melody,brazilian,,,
"r&b, funk & soul",,funk ostentacao,brazilian,,,
"r&b, funk & soul",,funk paulista,brazilian,,,
"r&b, funk & soul",,future funk,dance,,,
"r&b, funk & soul",,girl group,pop,,,
"r&b, funk & soul",,indie r&b,r&b,,,
"r&b, funk & soul",,indie soul,soul,,,
"r&b, funk & soul",,instrumental funk,funk,,,
"r&b, funk & soul",,liquid funk,funk,,,
"r&b, funk & soul",,mega funk,brazilian,,,
"r&b, funk & soul",,modern funk,funk,,,
"r&b, funk & soul",,neo r&b,r&b,,,
"r&b, funk & soul",,neo soul,soul,,,
"r&b, funk & soul",,new jack swing,r&b,,,
"r&b, funk & soul",,pinoy r&b,r&b,,,
"r&b, funk & soul",,pop r&b,r&b,,,
"r&b, funk & soul",,r&b,r&b,,,
"r&b, funk & soul",,r&b brasileiro,r&b,,,
"r&b, funk & soul",,r&b en espanol,r&b,,,
"r&b, funk & soul",,r&b italiano,r&b,,,
"r&b, funk & soul",,r&b/soul,r&b,,,
"r&b, funk & soul",,scandinavian r&b,r&b,,,
"r&b, funk & soul",,soul,soul,,,
"r&b, funk & soul",,synth funk,funk,,,
"r&b, funk & soul",,trap funk,trap,,,
"r&b, funk & soul",,uk contemporary r&b,r&b,,,
"r&b, funk & soul",,uk funky,funk,,,
"r&b, funk & soul",,urban contemporary,hip hop,,,
"r&b, funk & soul",,vapor soul,soul,,,
reggae,,african reggae,reggae,,,
reggae,,australian reggae fusion,reggae,,,
reggae,,brazilian reggae,reggae,,,
reggae,,dub,dub,,,
reggae,,dub reggae,dub,,,
reggae,,french reggae,reggae,,,
reggae,,german reggae,reggae,,,
reggae,,modern reggae,reggae,,,
reggae,,old school dancehall,dancehall,,,
reggae,,reggae,reggae,,,
reggae,,reggae catala,reggae,,,
reggae,,reggae en espanol,reggae,,,
reggae,,reggae fusion,reggae,,,
reggae,,reggae maghreb,reggae,,,
reggae,,reggae tuga,reggae,,,
reggae,,roots reggae,reggae,,,
reggae,,ska,rock,,,
reggae,,spanish reggae,reggae,,,
reggae,,swiss reggae,reggae,,,
reggae,,uk reggae,reggae,,,
rock,,acid rock,psychedelic rock,,,
rock,,action rock,rock,,,
rock,,album rock,rock,,,
rock,,argentine rock,rock,,,
rock,,art rock,rock,,,
rock,,australian rock,rock,,,
rock,,australian shoegaze,indie rock,,,
rock,,belgian indie rock,indie dance,,,
rock,,belgian rock,rock,,,
rock,,blues rock,rock,,,
rock,,brazilian indie rock,indie rock,,,
rock,,brazilian lo-fi rock,rock,,,
rock,,brazilian rock,rock,,,
rock,,classic garage rock,rock,,,
rock,,classic rock,rock,,,
rock,,colombian rock,rock,,,
rock,,dance rock,pop rock,,,
rock,,deep classic garage rock,rock,,,
rock,,deep space rock,psychedelic rock,,,
rock,,english indie rock,indie rock,,,
rock,,ethereal wave,dark wave,,,
rock,,freakbeat,pop rock,,,
rock,,french garage rock,rock,,,
rock,,french psychedelic,psychedelic rock,,,
rock,,french rock,rock,,,
rock,,french stoner rock,rock,,,
rock,,future rock,rock,,,
rock,,garage psych,psychedelic rock,,,
rock,,garage rock,rock,,,
rock,,garage rock revival,rock,,,
rock,,german rock,rock,,,
rock,,glam rock,rock,,,
rock,,gothic rock,rock,,,
rock,,grave wave,dark wave,,,
rock,,hard rock,hard rock,,,
rock,,icelandic rock,rock,,,
rock,,indie garage rock,indie rock,,,
rock,,industrial rock,rock,,,
rock,,instrumental rock,rock,,,
rock,,irish indie rock,indie rock,,,
rock,,jam band,Null,"Can be jazz, funk, rock etc.",,
rock,,latin rock,rock,,,
rock,,lovers rock,reggae,Not a rock subgenre : https://en.wikipedia.org/wiki/Lovers'_rock ,,
rock,,medieval rock,rock,,,
rock,,mellow gold,pop rock,,,
rock,,modern blues rock,rock,,,
rock,,modern rock,rock,,,
rock,,neo-psychedelic,psychedelic rock,,,
rock,,new wave,pop,,,
rock,,noise rock,rock,,,
rock,,nordic post-rock,indie rock,,,
rock,,novo rock gaucho,pop rock,,,
rock,,permanent wave,rock,,,
rock,,persian rock,rock,,,
rock,,pinoy rock,rock,,,
rock,,pop rock,pop rock,,,
rock,,portuguese rock,rock,,,
rock,,post-grunge,rock,,,
rock,,post-hardcore,punk,,,
rock,,post-punk,post-punk,,,
rock,,post-rock,rock,,,
rock,,psychedelic rock,psychedelic rock,,,
rock,,psychedelic space rock,psychedelic rock,,,
rock,,pub rock,rock,,,
rock,,rap rock,rap,,,
rock,,rock,rock,,,
rock,,rock alternatif francais,indie rock,,,
rock,,rock baiano,rock,,,
rock,,rock independant francais,indie rock,,,
rock,,rock nacional,rock,,,
rock,,rock sergipano,rock,,,
rock,,rock steady,reggae,,,
rock,,romanian rock,rock,,,
rock,,roots rock,rock,,,
rock,,russian rock,rock,,,
rock,,scottish rock,rock,,,
rock,,slowcore,indie rock,,,
rock,,soft rock,pop rock,,,
rock,,space rock,psychedelic rock,,,
rock,,swedish melodic rock,rock,,,
rock,,swiss rock,rock,,,
rock,,symphonic rock,rock,,,
rock,,thai rock,rock,,,
rock,,turkish rock,rock,,,
"soundtrack, stage & screen",,guaracha,Null,Cuban genre. Should be linked to latino / brazilian genre.,,
"soundtrack, stage & screen",,soundtrack,Null,,,
spirituals,,christian,Null,,,
spirituals,,shamanic,Null,,,
sports,,speedrun,Null,,,
